unmatched log - 2026-03-13T05:52:21.725Z
合計: 1050行

案件管理番号 | システム名 | 対応内容
2023101200017 | BFS_M00049 | 回線オプション選択画面で当該OPを受付不可とし非表示または非活性制御を実装
2023101200017 | SB-OLS（OLS_M00494） | 回線OP選択画面から当該OPを除外し、新規・機変等で選択できないよう制御
2023101200017 | YM/LM/法人OLS（OLS_M00494） | 番号移行・譲渡等時に当該OP自動解除・継続ワーニングを表示
2023101200017 | かんたん手続き | 回線OP選択・情報変更画面から当該OPを非表示または非活性とする制御を追加
2023101200017 | 料金シミュレータ | 見積もり項目に当該OPのフル／ライトプラン料金を追加し選択計算可能とする
2023101200017 | MySB | WEBの契約情報照会画面に当該OP加入状況・解除ボタンを追加し情報変更解除を可能にする
2023101200017 | MyYM | WEBの契約情報照会画面に当該OP加入状況・解除ボタンを追加し情報変更解除を可能にする
2023101200017 | IVR | 回線認証後に当該OPフルプラン加入時のなんサポ／ワイサポ対応可否判定を行うロジック追加
2023101200017 | CORELIS care | IVRからの当該OP加入判定結果を受け取りリモートサポート受付フローに反映
2023101200017 | 法人/Bizコンシェル | 法人回線の当該OP加入照会・注意事項表示を既存定額OP同様に対応
2023101200017 | GINIE-POS | 物品販売登録画面に値引きコード入力欄を追加し継続特典クーポン値引きを適用
2023101200017 | GINIE-POS | CaMP_M00053連携で当該OP加入・サポート実施インセンティブ自動計算フラグを追加
2023101200017 | OLフロント | 対象外チャネルとして当該OPを非表示としつつ顧客照会で履歴表示する機能を追加
2023101200017 | NFA_M00632 | 対象回線に紐づく当該OP加入状況を審査・与信関連画面に参考情報として表示
2023101200017 | OLS-Care（OLS_M00494） | スマホ設定サポート履歴画面で当該OPのサブスク利用を表示
2023101200017 | CME_OLS（OLS_M00494） | MNP転出・解約時の注意事項PDF出力に当該OP料金・自動解除文言を反映
2023101200017 | 新見込 | 見込顧客登録時の案内内容に当該OPを追加し提案プランとして表示
2023101200017 | 顧客登録 | 顧客マスタに当該OP利用有無属性を追加し各チャネルで参照可能にする
2023101200017 | 事前顧客照会 | 回線照会結果に当該OP加入状況・プラン種別・契約月数を追加表示
2023101200017 | 実績PF | GINIE登録実績CSVに当該OP加入・解除・サブスク利用・特典クーポン利用を追加連携
2023101200017 | ChatBot | 当該OPの概要・加入可否・解除方法をFAQとして追加し自動応答する機能を追加
2023101200017 | Cindy_M00364 | 継続特典案内SMS送信および特典対象者の顧客照会ポップアップ表示を実装
2023101200017 | CS管理／専用WEB | CSオペレータ向け画面に当該OP加入状況・自動解除条件の表示機能を追加
2023101200017 | WNF | YM→SB番号移行WEB画面に当該OP自動解除注意文言を表示する処理を追加
2023101200017 | SCMOne_M00403 | 端末在庫・契約情報と当該OPの紐付け情報を参照できるよう項目を追加
2023101200017 | WCR | コール記録画面に当該OP説明・加入可否案内を履歴として記録する項目を追加
2023101200017 | Kiwi_M00672 | レポート抽出画面に当該OPの加入数・解約数・サポート利用数を集計できる指標追加
2023101200017 | CLS_M00676 | 契約ライフサイクル管理に当該OPの開始・終了イベントを追加記録
2023101200017 | 顧客プロファイル | 当該OP加入属性を保持しパーソナライズ配信や来店予約連携に利用
2023101200017 | IntelligentSearch | 検索条件に当該OP加入有無・継続期間を追加し対象顧客抽出を可能にする
2023101200017 | 来店予約 | 定期点検／継続特典メールのリンクから当該OP加入者が予約できる導線を追加
2023101200017 | SB Report | 当該OP新規申込実績・サブスク受付実績を集計しレポート出力する機能を追加
2023101200017 | 審査PF_M00555 | 当該OP料金・インセ情報が審査に影響しないことを前提に属性参照のみに対応
2023101600002 | CCOC_M00321 | 自社要注意者情報(E06)で強制解約者情報を参照し審査センター遷移させる判定ロジックを削除する対応
2023101600002 | COP_M00365 | 滞納支払後に強制解約関連ステータスが消失する料金情報の蓄積・連携方針を維持するための影響確認対応
2023102400044 | YMOLSフロント | 追加新規／追加MNPを通常レジ選択肢に追加しUIで申込区分を選択可能とする
2023102400044 | YMOLSフロント | CASIS認証画面でMyYM等ログイン後に既存回線を選択させ同一C#前提で処理開始するよう変更
2023102400044 | YMOLSフロント | CASIS認証済回線に対しNFA経由でCOP等へ名義・住所・連絡先変更履歴照会するIF処理を新設
2023102400044 | YMOLSフロント | 照会結果に基づき本人確認スキップ可否を判定し「契約者本人確認不要OKフラグ」を設定するロジック追加
2023102400044 | YMOLSフロント | 申込画面上で契約時と現時点の情報相違なし同意チェックボックスを表示し同意取得必須とする
2023102400044 | YMOLSフロント | 課金開始日から60日以上経過しているかを判定しスキップ対象外の場合は従来フローへ分岐させる
2023102400044 | YMOLSフロント | 商材種別・支払方法・国籍情報から対象マトリクスに基づき本人確認必要有無を分岐する処理追加
2023102400044 | YMOLSフロント | eSIM／eSIM端末セット申込時にeKYCを含む本人確認取得をスキップ対象に含める制御追加
2023102400044 | YMOLSフロント | SB-IDログインで読み込まれた回線も本人確認書類スキップ対象判定に含める判定処理追加
2023102400044 | NFA | フロントから受領した「契約者本人確認不要OKフラグ」を申込オーダーに保持し後続システムへ連携するIF改修
2023102400044 | NFA | 契約者本人確認書類が「なし」の新規／MNP申込を受け付けるオーダー項目定義とエラーチェック条件を変更
2023102400044 | NFA | 本人確認スキップ対象オーダーに対しAIOCR連携と芝公園センター目検連携を行わないように制御を追加
2023102400044 | NFA | CCOC向けインターフェースに契約者本人確認不要OKフラグを付与し審査条件分岐に利用可能とする
2023102400044 | NFA | d_nfa配下既存マートの既存項目を利用し契約者本人確認不要OKフラグをDWHへ連携する出力ロジック追加
2023102400044 | OLS-care | 契約者本人確認不要OKフラグを受信し本人確認書類なしでも受注～開通まで処理可能な受付ロジックへ変更
2023102400044 | OLS-care | 本人確認書類なしオーダーでAIOCR処理・目検遷移をスキップし機種変更と同様の審査フローに分岐する
2023102400044 | OLS-care | 不正疑義等でセンター遷移する際に本人確認不要OK属性もメモ属性として付与するメモ登録処理を追加
2023102400044 | COP_M00365 | CASIS認証した回線の契約者名義・住所・連絡先の変更履歴を照会可能とする検索APIまたはIFを拡張
2023102400044 | CASIS_M00125 | 認証した回線の契約者情報・変更履歴を照会するためNFA／フロントからの参照要求受付処理を追加
2023102400044 | CASIS_M00125 | 照会結果として変更履歴有無や国籍判定情報を返却し本人確認スキップ判定材料を提供するIFを実装
2023102400044 | DWH_M00853 | d_nfa配下の既存マート／項目を流用し契約者本人確認不要OKフラグを蓄積し後日抽出可能にする設定変更
2023111700012 | GINIE | モバイル新規等申込画面で東芝OCR読取情報全項目を一時保存する処理を追加
2023111700012 | GINIE | CCOC連携用IFで東芝OCR読取情報（氏名等）をGINIE受付番号単位で送信する処理を追加
2023111700012 | GINIE | 本人確認書類撮影画面にマイナンバーカードを東芝OCR読取対象として選択・読取する機能を追加
2023111700012 | GINIE | BB新規・サービス変更フローでマイナンバーカードのOCR読取・情報貼付処理を追加
2023111700012 | GINIE | CCOC連携完了後に保存済みOCR情報をGINIE側から削除するクリーニング処理を追加
2023120400023 | GINIE | 年収情報入力画面において入力値表示を「●●●●」にマスク表示する処理を追加
2023120400023 | GINIE | 年収情報内容確認画面において表示値を「●●●●」にマスク表示する処理を追加
2023120400023 | GINIE | 新規登録以外の年収入力画面全てに同等のマスク処理ロジックを適用する処理を追加
2023120400024 | GINIE | 新規＋既存回線一括請求時の請求先電話番号入力欄をテキストボックス化し編集可能とする
2023120400024 | GINIE | ご契約状況選択（既存回線あり／初めて契約）にかかわらず請求先電話番号編集制御ロジックを統一し変更可能とする
2023120400024 | CCOC_M00321 | GINIEから連携される一括請求先電話番号の更新値を受け取り契約情報へ反映する連携処理を追加
2023120400028 | 記載なし | GINIE利用料金照会画面で回線-移動機セット行を整列表示に変更する
2023120400028 | 記載なし | GINIE利用料金照会画面で021番号直下に機種名項目を追加し表示する
2023120400028 | 記載なし | CME利用料金照会画面で021番号直下に機種名ラベルを追加し機種名を表示する
2023120400028 | 記載なし | CME B#回線明細画面でグレーラベル領域を拡張し機種名を記載表示する
2023120400030 | GINIE | マルチ顧客照会画面におうち割光セット特典の細分化ステータスを表示する処理を追加
2023120400030 | GINIE | マルチ顧客照会画面にでんきセット特典の細分化ステータスを表示する処理を追加
2023120400030 | COP_M00365 | おうち割光セット・でんきセット特典の判定結果と判定タイミング情報をGINIE向けに提供する連携項目を整理
2023120400030 | 記載なし | ファイバーズ（？）からおうち割光セット・でんきセット判定情報を取得するIFおよび項目の仕様調査と定義
2023120400035 | 記載なし | 記載なし
2023120400035 | GINIE | 棚卸画面の「棚卸し登録」ボタン表記を「棚卸登録」へ変更する対応
2023120400035 | GINIE | 棚卸登録ボタン押下後のポップアップ本文をPCIDSS Ver4.0準拠文言へ変更する対応
2023120400035 | GINIE | ポップアップ内にマルチデバイス・タッチステーション確認事項を追記表示する対応
2023120400035 | GINIE | ポップアップの背景色を変更し重要性を強調する画面デザイン対応
2023120400035 | GINIE | ポップアップ上部に「重要」タイトルバーを追加表示する対応
2023120400035 | GINIE | ポップアップの「OK」ボタン名称を「確認しました」へ変更する対応
2023120400035 | GINIE | ポップアップ内ボタンの色・サイズをGINIE基準に統一するUI調整対応
2023120500016 | GINIEブラウザ | モバイル受付登録/照会画面の担当者等表示をクルーコードのみ表示に変更する
2023120500016 | GINIEブラウザ | モバイル申込内容確認画面のクルー氏名印字をクルーコードのみ印字に変更する
2023120500016 | GINIEブラウザ | モバイル帳票印字部の担当者等クルー氏名項目をクルーコード印字に変更する
2023120500016 | GINIEブラウザ | モバイル画面ヘッダのクルー姓表示をクルーコード表示に変更し氏名を非表示とする
2023120500016 | GINIEブラウザ | モバイル受付状況一覧画面ヘッダのクルー氏名を見えないよう制御する
2023120500016 | GINIEブラウザ | モバイルGINIEメニュー画面詳細にクルーコードとクルー名を併記表示する
2023120500016 | GINIEブラウザ | BB受付登録/照会画面の担当者等表示をクルーコードのみ表示に変更する
2023120500016 | GINIEブラウザ | BB内容確認画面のクルー氏名表示をクルーコードのみ表示に変更する
2023120500016 | GINIEブラウザ | BB受付状況照会の内容確認画面遷移時に登録後はクルー名表示を許可する
2023120500016 | GINIEブラウザ | BB帳票印字部のクルー氏名印字をクルーコードのみ印字に変更する
2023120500016 | GINIEブラウザ | BB光ADCC/量販インバン用内容確認画面でクルーコードのみ表示に統一する
2023120500016 | GINIEブラウザ | BB光ADCC/量販インバン用帳票印字のクルー氏名をクルーコード印字へ変更する
2023120500016 | GINIEブラウザ | BB受付状況/事前情報一覧画面ヘッダのクルー氏名を見えないように制御する
2023120500016 | GINIEブラウザ | BBGINIEメニュー画面詳細にクルーコードとクルー名を併記表示する
2023120500016 | GINIEブラウザ | でんき・ガス登録/照会画面のクルー表示をクルーコードのみ表示に変更する
2023120500016 | GINIEブラウザ | でんき・ガス申込内容確認画面のクルー氏名表示をクルーコードのみ表示に変更する
2023120500016 | GINIEブラウザ | でんき・ガス帳票印字部のクルー氏名印字をクルーコードのみ印字に変更する
2023120500016 | GINIEブラウザ | でんき・ガス受付状況一覧画面ヘッダのクルー氏名を見えないように制御する
2023120500016 | GINIEブラウザ | でんき・ガスGINIEメニュー画面詳細にクルーコードとクルー名を併記表示する
2023120500016 | GINIEブラウザ | キャリアフリー画面ヘッダのクルー姓表示をクルーコード表示に変更する
2023120500016 | GINIEブラウザ | キャリアフリー受付状況一覧でヘッダ以外のクルー名非表示対象外とする制御を実装する
2023120500016 | IRIS | キャリアフリー申込画面と帳票のクルー姓項目を担当者クルーコード表示に変更する
2023120500016 | IRIS | キャリアフリーサポート利用帳票の作業担当者表示を作業担当者クルーコードに変更する
2023120500016 | 料金ｼﾐｭﾚｰﾀ | キャリアフリー関連画面でクルー氏名表示がある場合はクルーコード表示へ変更する
2023120500016 | Web情変 | キャリアフリー関連画面のクルー情報表示があればクルーコードのみ表示に変更する
2023120500016 | CORELIScare | キャリアフリー問い合わせ画面のクルー表示をクルーコードのみ表示に変更する
2023120500016 | SHOP UI | キャリアフリー店頭UIの担当者表示をクルーコードのみ表示に変更する
2023120500016 | CS UI | キャリアフリーCS UIでの担当者表示をクルーコードのみ表示に変更する
2023120500016 | GINIE | モバイル登録/照会画面で本人確認担当者・店長名・責任者名を客非表示のまま扱い対象外と明記する
2023120500016 | かんたん手続き | 閲覧モードの本人確認担当者欄をクルーコードのみ表示または非表示に変更する
2023120500016 | GINIE-POS | 会計処理画面上のクルー表示をクルーコードのみ表示する仕様に変更する
2023120500016 | BSW | BB受付登録/照会画面の担当者/本人確認者/受付者表示をクルーコードのみ表示に変更する
2023120500016 | BSW | BB内容確認画面のクルー氏名表示をクルーコードのみ表示に変更する
2023120500016 | BSW | BB帳票連携時に担当者名項目を担当者クルーコード項目に切り替える
2023120500016 | BSWMOD | BB光回線再利用等の画面でクルー氏名表示をクルーコードのみ表示に変更する
2023120500016 | BSW Fibers | BB光系受付画面のクルー表示をクルーコードのみ表示に変更する
2023120500016 | CME | でんき・ガスおよびモバイル関連情報照会画面のクルー表示をクルーコードのみ表示に変更する
2023120500016 | CME | キャリアフリー関連履歴へのクルー情報をクルーコードのみ連携するよう変更する
2023120500016 | CCOC_M00321 | でんき・ガス関連案件のクルー名を受け取らずクルーコードのみ保持するよう連携変更する
2023120500016 | COP_M00365 | でんき・ガス関連帳票保管時にクルー氏名ではなくクルーコードを保管するよう変更する
2023120500016 | CaMP_M00053 | 対象案件での業務手数料・インセ算出にクルー名を利用しないことを確認する設定維持
2023120500016 | DWH_M00853 | 既存マート・項目の連携仕様を維持しクルー名・クルーコードのデータ構造を変更しない
2023120500016 | MARS_M00306 | 対象案件で保証サービス連携にクルー名を使用しない前提を維持し追加改修を行わない
2023120500016 | CASIS_M00125 | でんき・ガス認証系連携でクルー名を参照しないことを前提としたインターフェース維持
2023120500016 | Kiwi_M00672 | でんき・ガス関連でKiwiが扱うクルー情報があればクルーコードのみ扱うよう連携確認
2023120500016 | Cafe_M00875 | でんき・ガス関連履歴でクルー氏名を扱わずクルーコードのみ運用する設定を維持
2023120500016 | SCMOne_M00403 | 本案件は対象外としクルー名削除対応を実施しないことを明記する
2023120700002 | DWH_M00853 | 割当を実施する予約番号を抽出しBP部3課・DP部2課へ提供する既存抽出処理の前提利用（改修有無の記載なし）
記載なし | OLS_M00494 | YM向けYMOLSの仕掛り受注チェックマスタ画面にPPMA重複系条件を登録・参照する機能を追加
記載なし | OLS_M00494 | LINEMO向けLMOLSの仕掛り受注チェックマスタ画面にクレカ・住所赤メ条件を登録・参照する機能を追加
記載なし | OLS_M00494 | 既存赤メ判定プログラムからマスタ参照型ロジックへ切替え、旧個別プログラムを削除する処理を実装
2023122000007 | Chronos Billing_M00312 | 請求計算処理で通常請求の紙／SMS請求対象判定ロジックを追加・変更
2023122000007 | Chronos Billing_M00312 | クレ買取不能再発行時に紙／SMS請求対象を判定し課金区分を制御する処理を追加
2023122000007 | Chronos Billing_M00312 | PayPayオンライン決済手数料を300円から200円に変更する料金テーブルを更新
2023122000007 | Chronos Billing_M00312 | 滞納請求書のQRコード印字対象判定ロジックを追加しバーコード種別フラグを出力
2023122000007 | Chronos Payment_M00312 | オンライン決済手数料200円への変更に伴う決済手数料計算ロジックを修正
2023122000007 | Chronos Payment_M00312 | 滞納請求のオンライン決済用QRコード生成と印刷会社向けコード出力処理を追加
2023122000007 | IVC | 通常請求のSMS送信結果を取得しエラー時に紙請求書再発行トリガを起動する制御ロジックを追加
2023122000007 | IVC | クレ買取不能のSMS送信と送信エラー検知に基づき再発行処理と手数料請求制御を行う機能を追加
2023122000007 | IVC | 滞納請求における既存督促SMSとオンライン誘導SMSの出し分けロジックを追加
2023122000007 | CME_OLS_M00494 | 利用料金照会画面で請求年月ごとの支払方法名（窓口払い(SMS)等）を表示する機能を追加
2023122000007 | CME_OLS_M00494 | 支払方法名取得のためにChronos Billing_M00312等から支払方法情報を照会するIF処理を追加
2023122000007 | Corelis Care | 料金照会画面で当月請求がSMS請求・クレ買取不能SMS請求である旨のアラート表示機能を追加
2023122000007 | Corelis Care | 入金確認状況に応じてSMS請求アラート表示を自動で出し分け・非表示にする制御ロジックを追加
2023122000007 | My SB | トップ画面にお支払い誘導モーダルを表示しオンライン決済画面へ遷移させるUIを追加
2023122000007 | My SB | 当月支払方法が窓口払い(SMS)やクレ買取不能請求の場合の表示条件ロジックを追加
2023122000007 | My YM | My SBと同様に未払い料金がある場合に支払い誘導モーダルを表示する機能を追加
2023122000007 | My MENU | 請求金額エリアに「お支払いが必要」アラートを表示しオンライン決済画面へリンクするUIを実装
2023122000007 | 公式アプリ | 請求確定後に通常請求向け支払依頼プッシュ通知を送信する通知機能を追加
2023122000007 | 公式アプリ | クレ買取不能時専用の支払案内プッシュ通知を送信する通知テンプレートとロジックを追加
2023122000007 | PayPayアプリ（Cafe_M00875） | 料金照会画面に請求月ごとの支払方法を表示しMy SBへの導線を追加
2023122000007 | PayPayアプリ（Cafe_M00875） | 窓口払い（SMS/紙）時にMy SoftBankオンライン決済画面へ遷移させるリンクを追加
2023122000007 | Omnibus | 請求通知SMS・支払促進SMS・滞納関連SMSの送信結果をコンタクト履歴として保存する処理を追加
2023122000007 | 統合履歴 | 通常請求・クレ買取不能・滞納の各SMS送信結果とエラー情報を保存する履歴項目を追加
2023122000007 | 統合履歴 | 滞納請求書発行履歴にコンビニバーコード／QRコードの印字種別を格納する項目を追加
2023122000007 | BOS | CMEからの照会に対応し請求ごとの支払方法情報を返却するインターフェース処理を改修
2023122000007 | Cindy_M00364 | メール送信基盤として利用する場合に統合履歴との連携設定を確認するが本資料上は記載なし
2023122600008 | OLS_M00494 | オンライン同意関連契約者向け通知をEメールからSMS送信へ切替える画面ロジック変更
2023122600008 | OLS_M00494 | 不備修正サイトのオンライン同意再送要求IFをメール再送からSMS再送へ変更する処理
2023122600008 | 記載なし | CareシステムはNFAマスタ追加による自動反映のため個別改修なし
2024011900005 | Chronos Billing_M00312 | 高額随時請求の一定額停止判定ロジックからソフま利用料を除外する処理を追加
記載なし | COP_M00365 | G10/G13直投で発生したS#・業務種別・処理日を日次抽出する機能を追加
記載なし | COP_M00365 | 抽出データからKIIRO向けA～DパターンのCSVレイアウトデータを生成する処理を追加
記載なし | KIIRO_M00487 | COPから日次で受領するCSVファイルを自動で取込み処理する機能を追加
記載なし | KIIRO_M00487 | 取込みCSVの業務種別に応じて事業法帳票を自動発行する帳票作成ロジックを追加
記載なし | DWH_M00853 | C_サービス情報PLUS_P等マートを用いたKIIRO向けデータ抽出バッチ処理を廃止
2024013000004 | NFA | CCOC二次応答400検知時の自動リトライ処理を暫定停止から再開する制御へ変更
2024013000004 | CCOC | 解約時二次応答コードの区分整理とCCOCボール／フロントボールの責任範囲を明確化
2024013000004 | NFA | YM／LINEMO解約サイトから連携される二次応答結果の判定ロジックを整理しリトライ対象条件を見直し
2024013000006 | MARS_M00306 | 構成マスタで機種商品コードからpSIM商品コードを取得する読替ロジック（S→W）を利用
2024013000006 | MARS_M00306 | 商品フラグマスタで商品フラグ種別CD2009に対するSIMグループ設定を機種別に管理
2024013000006 | MARS_M00306 | USIM商品重み付けリファレンスでSIMグループからeSIM商品コードを参照する設定を利用
2024013000006 | CCOC_M00321 | NFAから連携されたSIMグループを保持しCOP審査依頼時にSIMグループを連携
2024013000006 | COP_M00365 | SIMグループからTHALESもしくはIDEMIAのeSIM商品コードとICCIDを自動払い出し
2024013000006 | YM_OLS（システム正式名称なし） | 販売管理ツール製品設定画面で機種コード取り込みによる自動反映を行う
2024013000006 | YM_OLS（システム正式名称なし） | 対応pSIM項目でpSIM商品コードを手動選択せずMARS構成マスタ値を表示
2024013000006 | YM_OLS（システム正式名称なし） | 対応eSIM項目でeSIM商品コードを手動入力せずMARS関連マスタ値を表示
2024013000006 | YM_OLS（システム正式名称なし） | eSIM対応有無選択に応じて対応eSIM項目を活性化し自動取得値を反映
2024013000006 | YM_OLS（システム正式名称なし） | SIMグループ取得不可時にSIMグループ“401001”を固定設定する処理を保持
2024021400006 | Cindy_M00364 | My SoftBankのSIM再発行・eSIM再発行メニューで4:00～23:15受付制御を追加する
2024021400006 | Cindy_M00364 | My Y!mobileのeSIM再発行・SIM交換メニューに回線認証可否判定と時間制御を実装する
2024021400006 | Cindy_M00364 | MyMenu（LINEMO）のeSIM再発行・SIM変更画面で受付時間判定とエラー表示文言を変更する
2024021400006 | Veritas_M00413 | CCOC審査結果後の自動処理時間を4:00～23:30に拡張し夜間の審査進行を可能にする
2024021400006 | Veritas_M00413 | CCOC審査通過後に有人審査に遷移する申込の審査可能時間帯を延長する
2024021400006 | CaMP_M00053 | インセンティブ計算機能で本施策による業務手数料・インセ条件に変更がない設定を維持する
2024021400006 | SCMOne_M00403 | ロジスティクス連携時刻について拡張後の夜間送信が問題ないか連携時間帯設定を確認・維持する
2024021400006 | DWH_M00853 | 速報マートの対象データ抽出条件を変更せず本施策に伴う更新要否なしとして設定を維持する
2024021400006 | Cafe_M00875 | チャットボット案内文言で新しい受付時間・IVR案内内容に合わせ表示テキストを変更する
2024021400006 | CindyM_M00648 | CS管理／専用WEBのFAQ表示に受付時間拡張内容とIVR再コール案内を追加する
2024021400006 | CASIS_M00125 | IVR連携部分で回線切替可否のエラーコードを受付種別ごとに出し分けるロジックを実装する
2024021400006 | CASIS_M00125 | IVR自動音声ガイダンス用に時間外エラー内容別の音声案内パターンを追加する
2024021400006 | Kiwi_M00672 | IVR（0800系番号群）で受付時間外・有人不可時の自動音声案内と終話制御を実装する
2024021400006 | Kiwi_M00672 | 各IVRでMNP・番号移行・故障交換など業務別の受付時間判定ロジックを追加する
2024021400006 | CLS_M00676 | IVR経由の回線切替履歴にエラーコード・受付時間帯情報を蓄積する項目を追加する
2024021400006 | Chronos Billing_M00312 | 回線切替時の課金開始タイミング処理が拡張時間帯にも対応可能なよう日次バッチ条件を確認する
2024021400006 | MARS_M00306 | 回線切替結果を反映する課金系連携で深夜時間帯の処理遅延が起きないようスケジュールを調整する
2024021400006 | KIIRO_M00487 | 審査結果・受付時間情報ログに新たな時間帯区分を追加し監査性を確保する
2024021400006 | Cafe_M00875 | eSIM開通アプリやオンラインUIで手続き導線のわかりにくさ解消のため案内フローを改善する
2024031900015 | フロント | YMOLS申込状況確認サイト不備修正画面にeKYC再撮影ボタンを追加しFASEへ遷移可能とする
2024031900015 | フロント | 不備修正画面に「申込情報修正」「再撮影」等の修正方法選択肢を表示し分岐制御を追加する
2024031900015 | フロント | 不備修正画面からeKYC画面遷移時の戻り先URLパラメータを設定し不備修正画面へ復帰させる
2024031900015 | フロント | PayPayミニアプリ仕掛中画面にeKYC不備時の修正導線表示等の画面改修を実施する
2024031900015 | OLS_M00494 | 申込状況確認サイト上でeKYC不備内容を表示し不備修正ページへ遷移させる画面およびAPIを改修する
2024031900015 | OLS_M00494 | 不備修正画面からNFAへeKYC本人確認情報を連携する既存APIの項目を再利用し接続ロジックを追加する
2024031900015 | OLS_M00494 | PPミニアプリ経由受付分についてeKYC不備時のPush通知連携情報をNFAへ渡す制御を追加する
2024031900015 | FASE | eKYC申込番号をキーにNFAからの画像取得要求を複数回受け付けるインタフェースを実装し履歴管理を可能にする
2024031900015 | OLS_M00494 | OLSCare本人確認目検タブ内の「eKYC情報」欄にNFA連携の画像履歴を一覧表示する画面改修を実施する
2024031900015 | OLS_M00494 | OLSCare不備理由選択画面に「eKYC（顔画像不一致）」等新規不備理由を追加し選択連動ロジックを実装する
2024031900015 | OLS_M00494 | OLSCareで不備理由選択時に既存不備メールテンプレートで不備対応メールを送信する処理を追加する
2024031900015 | OLS_M00494 | OLSCareのeKYC関連不備理由選択時にNFAマスタ管理の案内文言を参照しフロントへ表示する連携を行う
記載なし | OLS_M00494 | Apple OLS取次ぎ受付機能にて機種変更の在庫なし2ステップ受付を除外する判定ロジックを追加
記載なし | OLS_M00494 | 契約種別（新規・MNP・機種変更）と在庫有無を判定し機種変更のみ一時受付対象外とする受付制御を実装
記載なし | CCOC_M00321 | CCOCでのApple OLS取次ぎオーダー連携時に機種変更＋在庫なしパターンの受付レコード生成を抑止する処理を追加
2024040500003 | CCOC_M00321 | Apple OLSからの高頻度申込連携に対する受付処理の負荷耐性確認およびキャパシティ上限整理
2024040500003 | CaMP_M00053 | Apple OLS経由のSIM単体契約データ登録処理の性能測定とピーク時トランザクション対応可否の検証
2024040500003 | COP_M00365 | Apple OLS取次契約に関する契約情報連携処理のスループット確認と高負荷時のボトルネック調査
2024040500003 | DWH_M00853 | Apple OLS関連契約データ蓄積バッチの処理時間・件数上限確認とピーク時影響範囲の洗い出し
2024040500003 | CindyM_M00648 | Apple OLS経由申込のフロント表示用データ参照負荷の測定と同時アクセス数増加時の影響分析
2024040500003 | NFA_M00632 | OLS-Careとの連携を含む認証・審査関連処理のトランザクション上限確認とスケールアウト余地調査
2024040500003 | cassis（正式名称記載なし） | Apple OLSからの申込情報API受付処理の負荷計測と高トラフィック時エラー率の確認
2024040500003 | OLS-Care（正式名称記載なし） | Apple OLS取次案件のCare系処理負荷確認とバックオフィス処理能力のボトルネック抽出
2024040500003 | GINIE（正式名称記載なし） | Apple OLS起因契約の問い合わせ対応時の情報参照負荷確認とピーク時レスポンス検証
2024040500003 | MySB（正式名称記載なし） | Apple OLS由来回線の契約情報・請求情報照会アクセス集中時の性能確認
2024040500003 | MySBアプリ（正式名称記載なし） | Apple OLS経由契約に対するアプリ照会機能の負荷影響測定
2024040500003 | IVR（正式名称記載なし） | Apple OLS契約に関する音声自動応答での情報照会処理負荷の確認
2024040500003 | CORELIS（正式名称記載なし） | Apple OLS起因契約のコールセンター支援画面のレスポンスおよび同時接続数確認
