案件管理番号,システム名,対応内容,工数（人月）
2022122700017,OLS_M00494,お客様情報入力画面において、外国籍選択時に在留期限の入力欄と在留カードの画像アップロード機能を追加する。,10.87
2022122700017,OLS_M00494,入力された在留期限が割賦回数に応じた規定期間（マスタ値）を満たさない場合、エラーメッセージを表示する 。,10.87
2022122700017,DWH_M00853,オンラインショップで取得した在留期限情報およびチェック時の閾値（判定基準）をデータ連携項目として追加する 。,0.95
2022122700017,Cafe_M00875,"開発在留期間取得API新規作成
・MARS取込（外国人在留期間マスタ）
・MARSマスタ取得API新設",1.70
2023011900006,OLS_M00494,eSIM移動機セットの新規申込完了後、出荷完了メール送信に紐づけて自動開通処理を実行するロジックを追加,0.69
2023011900006,OLS_M00494,自動開通化に伴い、従来必要であったログイン後の利用開始ボタン表示および押下プロセスを削除,0.02
2023011900007,OLS_M00494,eSIM単体契約において、着荷後の経過日数に基づき自動で開通処理を実行するロジックを実装する。,3.51
2023011900007,OLS_M00494,MNP他網の切替において、予約番号の有効期限残日数を判定し、期限前日に強制切替を行う処理を追加する。,0.04
2023051100004,DWH_M00853,B_MSG送信_Hマートにおいて、連絡先コードを仮名化した電話番号ハッシュ項目を新たに追加し格納する,0.28
2023051100004,DWH_M00853,既存の予約・割当履歴マートとオートコール応対履歴マートを、S番ハッシュおよび受付番号を用いて結合する処理を実装する,2.40
2023052600002,OLS_M00494,予約受付時の販売受付対応,1.10
2023052600002,OLS_M00494,管理画面において、CSVアップロードによる各種マスタの一括登録機能および反映用専用画面を追加する,0.80
2023052600002,OLS_M00494,反映予定一覧画面において、登録内容の赤字表示による確認機能および未来日での動作確認機能を追加する,0.04
2023052600002,OLS_M00494,商品検索画面において、現在の登録内容を修正用雛形として取得するための登録用CSVダウンロード機能を追加する,0.01
2023052600002,OLS_M00494,在庫管理ロジックにおいて、在庫数に応じた通常販売から予約販売への自動切り替え挙動および4つの販売パターンを追加する,0.10
2023052600002,OLS_M00494,在庫管理画面において、Wearable Device向けの在庫管理メモ欄および現在の販売状態を視覚化する項目を追加する,0.04
2023052600002,OLS_M00494,受注制御ロジックにおいて、同一倉庫に在庫があるアイテムのみ受注可能とし、在庫なし商品を非表示にする制御を追加する,0.04
2023052600002,OLS_M00494,連携バッチ処理において、O2Oフラグ有効化などのデータ反映後にOLS・ORS間連携バッチを臨時起動する機能を追加する,0.01
2023052600003,SCMOne_M00403,OLS_M00494との間で各倉庫ごとの付属品・黒SIM在庫数を同期し、出荷指示の連携精度を向上させる。,1.70
2023052600003,OLS_M00494,管理画面に各種マスタを一括登録・更新するためのCSVアップロード機能および専用画面を追加する。,0.32
2023052600003,OLS_M00494,日時指定でのマスタ登録反映機能および、反映前の登録内容確認（未来日確認）機能を追加する。,0.38
2023052600003,OLS_M00494,登録情報の修正を容易にするため、現在の商品・在庫情報をCSV形式でダウンロードする機能を実装する。,0.63
2023052600003,OLS_M00494,通常販売商材において、在庫数に応じた「在庫販売」「予約切替」等の4つの挙動パターン設定を追加する。,9.31
2023052600003,OLS_M00494,Wearable Deviceの在庫管理画面において、運用のための「在庫管理メモ」入力欄を新規に追加する。,4.12
2023052600003,OLS_M00494,付属品受注時にSCMOne_M00403から各倉庫の在庫数を取得し、同一倉庫に在庫がある場合のみ受注可とする。,4.75
2023080900007,COP_M00365,同一使用者による重複適用を防止するため、使用者情報（U#）に基づいた90日間の適用制御ロジックを追加する。,0.25
2023080900007,CCOC_M00321,新特典の追加対応,0.47
2023080900007,MGS_M00049,新特典対応（PayPayポイント付与）,9.20
2023080900007,Veritas_M00413,キャンペーン新設対応、顧客付加情報U#対応,3.00
2023080900007,KIIRO_M00487,特典の帳票出力テスト対応,0.20
2023080900007,CindyM_M00648,特典付与対象者に対し、MGSと連携して付与完了やリマインドのメールをターゲット配信する。,0.40
2023080900007,OLS_M00494,特定のURLからの申込導線において、対象外プランを非表示化し、専用のキャンペーン情報を自動適用する。,4.69
2023080900007,OLS_M00494,登録完了メールの本文内に、特典付与に必要なスマートログイン設定の案内テキストを追加・記載する。,1.72
2023080900007,Cafe_M00875,新規キャンペーン追加に伴う、マスタ設定対応,1.20
2023091200013,SCMOne_M00403,OLS_M00494からの連携を受け、キャンセル処理中ステータスにおいて出荷返品伝票の登録有無を確認するロジックを更新する。,3.80
2023091200013,CindyM_M00648,OLS_M00494からの配信指示に基づき、返却依頼や代金請求に関するSMSおよびEmailを顧客へ自動送信する。,0.20
2023091200013,OLS_M00494,管理画面の「債権管理」タブにて、キャンセル未返却対象案件の一覧表示およびCSV抽出機能を追加する。,6.38
2023091200013,OLS_M00494,各案件詳細画面へ、督促メールの自動送信を個別に停止するための「停止」ボタンを設置する。,0.36
2023091200013,OLS_M00494,キャンセル受付時のロジックとして、到着8日以内・未開封等の条件に基づき「キャンセル種別」を判定する機能を実装する。,6.38
2023091200013,OLS_M00494,キャンセルステータスに「キャンセル処理中（それ以外）」を新設し、8日間キャンセル対象外の案件を管理可能とする。,6.38
2023091200013,OLS_M00494,日報およびCS管理画面の履歴情報へ、返却催促メールや代金請求メールの送信実績を自動反映する処理を追加する。,0.18
2023120700002,SCMOne_M00403,予約発注管理機能において、登録された予約番号、発注開始日時、在庫枠情報をOLS_M00494へ連携する処理を追加。,4.40
2023120700002,SCMOne_M00403,返却在庫情報を受信した際、OLS枠から返却在庫枠へ在庫を移動させる枠移動処理機能を実装。,4.40
2023120700002,OLS_M00494,SCMOne_M00403から受信したデータに基づき、在庫数と配信件数を自動チェックしてメール配信設定を行う機能を追加。,0.16
2023120700002,OLS_M00494,初回配信テスト用として、指定件数の配信後に問題がないか確認し、残件数を配信する分割配信ロジックを実装。,0.19
2023120700002,OLS_M00494,本申込み期限切れやキャンセル案件をデイリーで抽出し、返却在庫情報をSCMOne_M00403へ連携する処理を追加。,5.65
2024012200016,MARS_M00306,対象商品と割引額をSKU単位で設定し、特定の日時指定による割引情報を管理・配信する。,0.14
2024012200016,COP_M00365,キャンペーン、特典パック、特典の払い出し,0.15
2024012200016,販売管理ｼｽﾃﾑ_M00050,試験対応,0.40
2024012200016,Veritas_M00413,CAERUS特典「OLSタイムセール」新設・ダミーカタログ新設,0.90
2024012200016,KIIRO_M00487,帳票の出力テスト対応,0.20
2024012200016,OLS_M00494,"設定された特定日時に基づき、購入手続き画面において対象機種の代金を最大44,000円割り引く処理を実行する。",10.04
2024012200016,OLS_M00494,180日間で1使用者1回までの購入制限を判定し、対象者の場合は特典適用を制限するロジックを追加する。,1.61
2024012200016,Cafe_M00875,特典新設に伴う、新規APIの作成、既存APIの修正,3.55
2024022000013,CaMP_M00053,ペイメントファイル内の空欄となっているGINIE受番カラムへ、該当する受番情報を表示するよう改修,1.00
2024022000013,CaMP_M00053,ペイメントファイル内の対象カラムへ、お問合せ番号2に紐づくOLS受番を表示するようロジックを変更,5.50
2024022100011,MARS_M00306,特典パック「オンラインショップ割1」の適用条件マスターに、割引対象外となるプラン情報を設定し制御を可能にする,0.17
2024022100011,Web情変_M00019,Myキャンペーン（MyCP）の追加対応,0.70
2024022100011,COP_M00365,キャンペーン、特典パック、特典の払い出し,0.17
2024022100011,販売管理ｼｽﾃﾑ_M00050,新キャンペーンの取り込み対応,0.40
2024022100011,Veritas_M00413,新キャンペーンの払い出し（UI登録会）,1.20
2024022100011,KIIRO_M00487,帳票の出力テスト対応,0.20
2024022100011,CCOC_M00321,代理店メンテから登録された新設キャンペーンを端末側に展開するよう設定,0.35
2024022100011,CME_顧客照会/BB解約_M00494,新規CP適用条件変更対応,0.30
2024022100011,OLS_M00494,申し込み画面の機種代金割引適用判定において、選択されたプランがミニフィット以外であることをチェックするロジックを追加,10.77
2024022100011,Cafe_M00875,Cafe腹持ちマスタの修正（サービス相関マスタにレコード追加）,0.90
2024030100017,OLS_M00494,営業希望フォーマットに基づきO2Oマスタ情報を生成し、DWH_M00853へ日次でデータ連携する処理を追加。,3.80
2024030100017,OLS_M00494,MARS_M00306データの取り込み頻度を、従来のデイリーから最短3時間間隔でのバッチ起動へ変更。,0.38
2024030100017,DWH_M00853,OLS_M00494から日次連携されるO2Oマスタ情報を受信し、担当営業が閲覧可能な領域へ格納する。,1.30
2024031800009,CCOC_M00321,OLS_M00494から連携された新設の業務区分項目を受信し、そのままCaMP_M00053へ中継・連携する。,3.05
2024031800009,CaMP_M00053,新設された業務区分に基づき、継続手数料の請求および解約時の戻入（返戻金）を計算・実行する。,2.20
2024031800009,Veritas_M00413,業務区分追加（OLS機変（TH）にAppleOLSの申込区分を新設）,1.10
2024031800009,OLS_M00494,eSIM単体機種変更を識別するための新しい業務区分を定義し、後続システムへデータを送信する。,3.35
2024032700006,OLS_M00494,在庫なし時の受付フローにおいて、機種変更を対象外として2ステップ受付へ遷移させない制御を追加する。,1.30
2024040500003,OLS_M00494,フロント表示用データ照会機能において、Appleからの大量流入に耐えうる負荷対策とキャパシティ増強を実施する。,2.10
2024052300002,CindyM_M00648,OLSからの送客に基づき、PayPayカードの新規獲得に関わる情報の連携および管理処理を実施する,0.40
2024052300002,OLS_M00494,クレジットカード情報入力欄において、非PayPayカード入力時に申込意思を確認するチェックボックスを表示する,0.70
2024052300002,OLS_M00494,契約内容確認画面において、PayPayカード未保有者または支払未設定者に対し、カード申込や支払設定変更への誘導を行う,9.05
2024052300002,Cafe_M00875,OLSの申込完了後、ユーザーの属性や申込内容に応じて出し分けを行うサポートメールの配信制御を行う,0.60
2024052300007,審査PF_M00555,"<1> 住所クレンジングロジックの修正                                                                                                                                                                                                                                                
申込された住所データのクレンジング実施後に、住所末尾の一部文字が「＿」にクレンジングされ不一致が発生しているため、クレンジング実施後、住所末尾に「＿」が入っていた場合は、末尾の「＿」を削除する処理をデータクレンジング処理に追加する                                                                                                                                                                                                                                                
※補足                                                                                                                                                                                                                                        
現　 状        ""１０１号　→（クレンジング）→１０１＿""                                                                                                                                                                                                        
期待値        ""１０１号　→（クレンジング）→１０１＿→（クレンジング）→１０１""                                                                                                                                                                                                        
上記のような場合に、末尾の＿を削除する                                                                                                                                                                                                                                
また、突合用にDBにブラックリスト登録されているデータについても「EC不正対策ブラックリストメンテナンス画面」からCSVファイルをアップロードした際にクレンジングを実施しているため、同様の処理を追加する                                                                                                                                                                                                                                                ",1.25
2024052300007,審査PF_M00555,"<2>EC不正対策ブラックリストのデータ移行
クレンジングの処理が追加となるため、既存のEC不正対策ブラックリストにリリース日の前日までに登録されているデータについてはデータ移行する",1.25
2024052300007,審査PF_M00555,"<3> 腹持ちクレンジングマスタの修正
クレンジングを実施する際に、クレンジングの内容やクレンジングの優先順位を設定している汎用マスタを参照している。このマスタに登録されている文字の想定から外れた文字が書き換えて申込されているため、クレンジングの対象となる文字を追加する                                                                                                                                                                                                                                                ",1.25
2024052300009,OLS_M00494,OLS日報(CS/営業)において、料金プランや通話定額等のFrom情報およびスキップ有無の項目を追加,9.63
2024052300009,OLS_M00494,OLS日報(CS/営業)において、詳細審査結果コード、PayPayカード手上げ、プラスワンフラグの項目を追加,9.63
2024052300009,DWH_M00853,b_ols_オンライン申込情報において、料金プランや端末あんしん保証等のFrom情報およびスキップ有無の項目を追加,0.90
2024052300009,DWH_M00853,b_ols_オンライン申込情報において、詳細審査結果コード、PayPayカード手上げ、プラスワンフラグの項目を追加,0.90
2024052300009,DWH_M00853,d_全channel移動機予約において、番号移行フラグおよび本申込メールの各リマインド配信日時項目を追加,0.90
2024052300011,Cindy_M00364,Ph.2において、ログインした自社ユーザーのPayPayカード保有状況を判定するためのデータ参照処理を追加する,0.20
2024052300011,Veritas_M00413,Ph.3において、支払設定変更の追加に伴う顧客管理データベースおよび契約情報の更新処理を改修する,0.40
2024052300011,OLS_M00494,クレジットカード入力欄にて、非PayPayカード入力時にPayPayカードの申込意思を取得する処理を追加する,7.66
2024052300011,OLS_M00494,ログイン情報に基づきPayPayカードの保有状況を特定し、未保有者に対して申込フォームへの誘導を行う,7.66
2024052300011,OLS_M00494,支払設定情報を確認し、PayPayカード保有かつ未設定のユーザーを支払設定変更画面へ誘導する,0.82
2024052300011,OLS_M00494,申込完了後の購入サポートメールにおいて、ユーザーの申込内容に基づき優先順位に従ったコンテンツを出し分ける,0.16
2024052300011,Cafe_M00875,Ph.1およびPh.2の各フェーズにおいて、顧客接点に関連するフロントエンド処理やロジックの改修を行う,0.60
2024052300015,MARS_M00306,Scatch!集荷場所管理マスタの当該レコードに対し有効終了日を設定してマスタを更新する,0.07
2024052300015,MARS_M00306,マスタの更新権限およびレコード編集制御設定の削除をデカチョウ起票後の番号連携にて実施する,0.01
2024052300015,MARS_M00306,OLS_M00494やNFA_M00632などの他システムに対するIFファイル連携停止処理を完了させる,0.03
2024052300015,OLS_M00494,PickGo宅配配送枠設定の配送枠を2025年12月31日まで0に設定し受注を制御する,7.84
2024052300015,Kiwi_M00672,外部API利用の停止対応,0.20
2024062500010,OLS_M00494,機種選択画面において、赤枠で指定された汎用的な選択欄および選択項目を表示する機能を追加。,3.74
2024062500010,OLS_M00494,機種選択画面の赤枠内において、青枠で指定された選択肢の内容を可変で設定・表示するロジックを実装。,10.46
2024091900013,SCMOne_M00403,OLS_M00494から送信される2明細形式の出荷指示データを受信し、自動梱包ラインへ連携する処理を維持,1.20
2024091900013,OLS_M00494,出荷指示データ作成機能において、1明細のセット商品を移動機とSIMの2明細に変換して送信する処理を追加,4.25
2024101700002,SCMOne_M00403,API性能試験、OLS連携試験,1.70
2024101700002,法人コンシェルサイト_M00010,向き先変更のためマスタ追加、連携試験,1.05
2024101700002,Veritas_M00413,「選択可能」機能の改修対応・試験対応,4.10
2024101700002,OLS_M00494,/online-shop/および/products/配下において、機種と付属品を同一カートで同時購入可能とする処理を追加,8.29
2024101700002,OLS_M00494,製品ページにおいて、ログイン情報から前回購入機種を特定し比較スペックや下取り金額を表示するロジックを実装,0.64
2024101700002,OLS_M00494,カート画面において、離脱したユーザーに対し手続き再開URLや保有ポイント情報を記載したリマインドメールを自動送付する機能を構築,54.85
2024101700002,OLS_M00494,付属品検索画面において、メーカー・機種名選択や「よく検索されているタグ」による絞り込み検索ロジックを改善,7.97
2024101700002,OLS_M00494,購入完了後のサンクスメールにおいて、購入機種に対応したケースやアクセサリのラインナップを訴求する導線を追加,149.89
2024101700002,Cafe_M00875,新規開発予定APIの設計、開発、試験対応,4.70
2024102800007,OLS_M00494,Get Ready経由の流入時、2段階受付ではなく通常受付として契約申込を処理する機能を追加。,4.38
2024102800007,OLS_M00494,AppleからAPI連携される業務種別フラグを判定し、対象業務に応じた申込画面へ自動遷移させる処理を実装。,4.56
2024102800007,OLS_M00494,新設API「carrierOrderStatus」において、SB側での契約申込中や完了等の顧客ステータスをリアルタイムで返却する。,12.28
2024102800007,Kiwi_M00672,試験協力対応,0.60
2024110800007,OLS_M00494,購入前ヒアリング画面において、プランやオプション提案の同意を得るための設問と選択肢を追加する,0.20
2024110800007,OLS_M00494,プラン・オプション選択画面において、ヒアリングで得た利用者の意思やニーズに基づきデフォルトのチェックを表示するロジックに変更する,2.56
2024110800007,OLS_M00494,機種変更時の判定ロジックにおいて、現在加入中のオプションと同一名称の場合のみデフォルトでチェックを入れる処理に変更する,2.56
2024110800007,OLS_M00494,プラン・オプション選択画面において、割引適用条件として加入が必須な場合にその旨を説明する文言を追加しチェックを維持する,0.59
2024110800007,OLS_M00494,機種変更時のオプション選択画面において、同一名称でも金額が変動する場合は注意喚起の注記を表示する処理を追加する,0.59
2024110800007,DWH_M00853,「b_ols_オンライン申込情報all」マートに1項目追加,1.00
2024111200006,SCMOne_M00403,MNP等の契約区分に応じたインセンティブ支払い処理、および8日間キャンセル時の戻入金額判定ロジックを変更,1.10
2024111200006,CCOC_M00321,AppleOLS専用の「MNP」と「番号移行」の申込区分、および取引IDを新設する,3.41
2024111200006,CaMP_M00053,MNP優遇施策の適用条件に基づき、Appleへ支払う獲得インセンティブおよび短期解約戻入金の増額計算ロジックを追加,3.50
2024111200006,Veritas_M00413,申込区分新設,1.30
2024111200006,OLS_M00494,MNP増額施策の導入に伴い、Appleから連携される契約タイプに基づき適切な申込画面へ誘導する処理を追加,11.06
2024111200006,OLS_M00494,GetReady（事前予約）期間において、2段階受付フローを廃止し直接本申込を受け付けるフロント画面へ改修,0.61
2024111200006,OLS_M00494,AppleとのAPI連携において、顧客ステータス（審査前・完了等）をリアルタイムに返却するAPIを追加実装,0.24
2024111200006,OLS_M00494,新商品発売時の負荷集中に耐えるため、システムキャパシティを現状のTPS30からTPS50へ増強する改修,0.09
2024111200006,DWH_M00853,分析を目的として、AppleからAPI連携される「GetReady」フラグおよび業務種別情報の格納領域を新設,1.00
2024112600012,G10_M00001,OCCタイプコードを腹持ちマスタに追加,0.10
2024112600012,COP_M00365,CCタイプコードの払い出し、料金項目IDとの紐づけ対応,0.11
2024112600012,CCOC_M00321,OLSからのインターフェースにおいて、新規追加される配送料項目を受信し、後続のBillingシステムへ連携する処理を実装する。,2.80
2024112600012,Veritas_M00413,OCCタイプコードのリファレンス設定,0.40
2024112600012,ChronosBillingREF_M00312,配送料の料金項目IDの作成（配送料の金額、請求書文言、料金分類、グルーピングIDを設定）,3.00
2024112600012,OLS_M00494,受注管理機能において、アクセサリ購入時の配送料を商品代金と分離して保持し、CCOCへ送出する処理を追加する。,8.20
2024122300001,My SoftBank(アプリ)_M00651,個人ページの「お申し込み内容の審査中です」の表示条件に追加対応,0.94
2025010700013,MARS_M00306,店舗営業時間マスタの受付終了時間（時）項目を、任意項目から必須項目へと定義を変更する。,0.15
2025010700013,MARS_M00306,店舗営業時間マスタの受付終了時間（分）項目を、任意項目から必須項目へと定義を変更する。,0.15
2025051300002,CindyM_M00648,OLS_M00494から連携されたパラメータ（受付番号、氏名、商品名等）を基に、EメールおよびSMSの配信処理を行う。,0.60
2025051300002,OLS_M00494,伝票詳細画面のメール送信履歴において、過去の送信履歴に基づきメールを再送するためのボタンを追加する。,0.58
2025051300002,OLS_M00494,伝票詳細画面において、プルダウンで選択したテンプレートを用いて個別に臨時メールを送信する機能を実装する。,2.52
2025051300002,OLS_M00494,申込メニュー内において、CSVファイルをアップロードすることで複数の予約番号等へ一括で臨時メールを送信する機能を追加する。,1.36
2025051300002,OLS_M00494,メール再送および臨時メール送信の実行前に、テンプレート名や件数等を表示する確認ポップアップ画面を表示する。,1.45
2025051300002,OLS_M00494,メール送信完了後、送信日時、テンプレート番号、送信内容を履歴として保持し、伝票詳細画面から参照可能にする。,0.39
2025051500010,CCOC_M00321,家族割申込時にOLSからの審査依頼を受け付け、審査結果および不備理由をOLSへ返却する処理を追加する,10.08
2025051500010,Veritas_M00413,OLSにて「家族割」申込を新規受付する際の、チェック項目の新設・修正を行う,4.20
2025051500010,KIIRO_M00487,帳票試験対応,0.20
2025051500010,NFA_M00632,家族割加入情報およびオンライン同意の結果を後続システムへ連携するためのインターフェースを改修する,9.40
2025051500010,CindyM_M00648,家族割の受付情報を管理し、既存の文面変更や新設する不備メールの送付処理を追加する,0.80
2025051500010,OLS_M00494,プラン選択画面に「新みんな家族割」のサービス項目選択肢および値引き金額の表示機能を追加する,45.77
2025051500010,OLS_M00494,情報入力画面において家族割主回線の電話番号入力項目を追加し、契約者との関係性に応じた入力制御を行う,2.53
2025051500010,OLS_M00494,入力された主回線電話番号が自網か他網かを判定し、他網の場合にアラートを表示するバリデーションを追加する,0.19
2025051500010,OLS_M00494,申込完了メールおよび各種通知メールの送付項目に家族割の申込情報を追加する改修を行う,16.75
2025051500010,OLS_M00494,管理画面の伝票詳細および案件検索結果において家族割主回線の契約者情報を表示する機能を追加する,2.43
2025051500010,OLS_M00494,日報出力機能において家族割関連のカラム追加および既存カラムの出力値変更対応を行う,0.97
2025051500010,DWH_M00853,既存のデータマートに対し家族割関連のカラム追加および出力値の変更対応を行う,0.30
2025052600005,CCOC_M00321,本人確認書類がスキップされた申込に対し、対象となる本人確認書類の審査工程をスキップする処理を行う。,2.22
2025052600005,CCOC_M00321,本人確認未実施であることを識別するためのフラグを、対外新規申込として連携するロジックを追加する。,4.45
2025052600005,OLS_M00494,カート画面において、複数端末の追加および各回線のプラン設定と家族割情報の表示機能を追加する。,9.15
2025052600005,OLS_M00494,契約種別選択画面において、家族割をデフォルト適用し代表回線番号を入力させる処理を実装する。,3.35
2025052600005,OLS_M00494,本人確認画面において、1回線目の情報を2回線目へコピーし、契約者同一による確認を1回に統合する。,0.05
2025052600005,OLS_M00494,情報入力画面において、機種変更や番号移行が含まれる場合に既存の契約者情報を自動フィルインする。,0.51
2025052600005,OLS_M00494,規約同意画面において、複数回線分で共通する注意事項および同意事項をまとめて表示する処理を追加する。,9.15
2025052600005,OLS_M00494,メール送信機能において、申込完了メール等の各種通知を各回線ごとに別々の申込番号で送信する。,3.35
2025052600005,OLS_M00494,配送管理機能において、各回線ごとに別送扱いとし配送料を各回線から個別に徴収する制御を行う。,0.51
2025052600005,OLS_M00494,管理画面において、複数同時申込が行われた回線同士の紐づきを判別できる識別フラグを表示する。,0.04
2025052600005,DWH_M00853,項目追加対応、PK（プライマリーキー）の設定変更,1.20
2025052600005,PPAP_M00923,一回線目申込時に発行したTxnIDを二回線目に紐づけを行い、画像格納を行う際にSCCMへメタ情報を付与する,1.90
2025053000010,COP_M00365,ログイン回線から取得した初回契約時の情報と現在の情報の変更有無をシステム的に照会しチェックする。,1.50
2025053000010,CCOC_M00321,氏名・住所に変更がなく本人確認をスキップした場合、審査における本人確認書類の目検業務を非表示とする。,5.80
2025053000010,CASIS_M00125,追加新規の申込回線と既存回線の契約者が同一である場合、本人確認のためのログイン認証処理を実施する。,1.25
2025053000010,Veritas_M00413,本人確認書類スキップの可否判定をフロントへ返却する（選択可能）,0.70
2025053000010,OLS_M00494,既存ログイン回線のプランやオプション情報を、ワンクリックで新規申込回線へコピーする機能を追加する。,25.48
2025053000010,OLS_M00494,おうち割が適用可能な場合、割引額を画面上に表示し、申込内容を帳票へ印字する処理を実装する。,25.48
2025053000010,Kiwi_M00672,Similis新規連携のための利用,0.40
2025053000010,Similis_M00817,既存APIの利用を可能にするためにマスター追加対応を行う,0.70
2025053000010,DWH_M00853,オンライン申込情報テーブルに、本人確認スキップフラグおよびプラン・オプションのコピー有無情報を新設し連携する。,1.40
2025062400006,CCOC_M00321,審査システム内に判定用DBを新設し、名前・生年月日・住所を用いた名寄せロジックを実装,0.51
2025062400006,CCOC_M00321,キャンセル発生時に、申込情報保持DBから該当の申込データを削除する連携処理を追加,8.99
2025062400006,Veritas_M00413,審査変更のための調査工数,5.40
2025062400006,審査PF_M00555,審査仕掛情報蓄積および照会機能、審査の実装：要件、設計、開発、試験対応,9.00
2025062400006,NFA_M00632,申込情報保持DBの設置とCCOC、審査PFとの連携追加対応,10.20
2025062400006,OLS_M00494,オンラインショップのフロント審査において、申込情報保持DBへのデータ登録および参照処理を追加,2.61
2025062700005,Veritas_M00413,ダミーカタログの新設（8個）,0.50
2025062700005,OLS_M00494,特定のagency-id AおよびBから遷移した専用LPにおいて、端末購入およびのりかえの申込を受け付ける。,3.78
2025062700005,OLS_M00494,管理画面において、特定のagency-idごとに紐づく特典（同梱物）の情報を設定・管理する機能を追加する。,0.20
2025062700005,OLS_M00494,契約種別がのりかえ（MNP/番号移行）または機種変更の場合に、48回割賦を選択肢から非表示とする。,0.21
2025062700005,OLS_M00494,オンラインショップ割やweb割等の既存キャンペーンと、特定のagency-id限定施策との併用不可判定を実装する。,0.21
